job_subdirno,job_card_link,index_x,title,salary,JD,key_words,duty_time,address,location,trans_plan_count,distance,cost,duration,salary_min,salary_max,salary_avg,internship_days,internship_months,index_y,dirno
0,https://www.zhipin.com/job_detail/1c8aeffc3f455b5e03Ry3Nu_EFJQ.html?lid=6HEiY9fwdJQ.search.1&securityId=7FvdZ63va0Riz-71X_xZ37X5Auf82Tk8ES8pAWj5My7G8OWmRFU6h1u3LXgjkzQUPHHhll2lOuhUtCuN2RAf-fbXVo8pMBhtra_OPNIOUlGBJ49vh02HHyDXcV7MTDAaUzm2HjQS8nBSZg~~&sessionId=,0,Java实习生,150-240元/天,工作职责•	参与项目需求分析和设计，能够主动思考需求中的不足。•	根据设计文档或需求说明完成代码编写，调试，测试和维护•	良好的代码开发风格和习惯编写注释，开发文档。•	能够快速定位排查线上生产环境的问题，并给出解决方案。•	具有较强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神。•	具有一定的抗压心理承受能力•	了解一些基本的Linux操作命令，和一些基本的网络知识。•	对数据库优化，大数据处理有一定的了解。职位要求•	教育背景：计算机科学、信息技术、软件工程或相关专业在读本科或研究生。•	开发能力：–	熟悉至少一种编程语言（如 Python、Java、Shell 等），能够编写简单的脚本或程序。–	具备基础的算法和数据结构知识，愿意学习和承担开发相关的任务。•	软技能：–	细致耐心，具备良好的问题解决能力和学习能力。–	有责任心，能够在指导下独立完成工作。–	良好的沟通能力，能够与团队成员有效合作。–	有较强的文档编写能力，能够记录操作流程和问题解决方法。加分项•	有过开发实习经验者优先。•	熟悉 Docker、Kubernetes 等容器化技术者优先。•	了解 CI/CD 流水线配置和使用者优先。•	有参与开源项目或技术博客写作经验者优先。我们提供•	丰富的实践机会，直接参与公司核心系统的工作。•	与经验丰富的工程师合作，快速提升您的技术水平。•	有竞争力的实习薪资和转正机会。,"['Java', 'Docker', 'SpringCloud', 'MySQL', 'Kafka', 'CI/CD', 'Spring']",4天/周 6个月,上海徐汇区港汇恒隆广场二座3509,"121.437217,31.194628",5.0,15950.0,4.0,4114.0,150,240,195,4,6,0,1
0,https://www.zhipin.com/job_detail/7a7a2fa99f689b0803Ry0t64E1FR.html?lid=6HEiY9fwdJQ.search.2&securityId=SfxeUMoI6K5fn-Q1GrqUNS-0J2Vb_cZZFHhZeMGwgEIhIE0b_VRyyhP8yJH_xgsRqz-0tkYGvOhz8Nge-nY4AE_yyEurlmUxE2VNXKdfwoYXmYbagiZXGhFkP3eIvt0wg0S0SyLFcD657w~~&sessionId=,1,Java实习生-交易数据（有留用机会）,250-300元/天,工作职责1、参与小红书社区电商商家经营数据产品服务端的整体建设与维护，包括商家经营数据产品、经营建议、运营数据产品等多个方向，挑战海量数据带来的性能挑战以及复杂多变的数据展示逻辑；2、参与各种渠道的数据源整合，并抽象为通用数据服务，在业务层灵活支持多端多场景的需求；3、深入发掘和分析业务需求，深度参与多个核心系统的建设，承担系统的设计开发维护工作，并持续优化改进；4、能够基于领域架构以及微服务，定义业务模型和服务等，识别当前架构中存在的问题，定义清晰的问题并推动交易架构升级，体系化的解决问题。任职资格1、2026届计算机相关专业本科/研究生毕业生。2、有扎实的Java基础，掌握Java中常用的数据结构、JVM和并发包相关知识，有开发经验优先；3、熟悉微服务相关技术知识，对各种开源框架Spring，Dubbo等有深入了解；4、熟练MySQL，对数据库有设计和使用能力; 熟悉大数据技术，包括但不限于hadoop、hive、spark、flink中的一种或多种，有使用经验优先；5、具有良好的沟通协作和学习能力，高度的责任心与自驱力，对具体问题有较好的分析和处理能力。,"['Java', 'MySQL', 'Dubbo', 'Spring']",5天/周 6个月,上海黄浦区LuOne凯德晶萃广场办公楼23,"121.477782,31.210766",5.0,10411.0,4.0,3228.0,250,300,275,5,6,0,1
0,https://www.zhipin.com/job_detail/f9ab187ce43226e00Hx90ty7Flo~.html?lid=6HEiY9fwdJQ.search.3&securityId=M6C3SEx7gT2pO-s1WgsCUWJMWzdts7RCTW04GcgnzpDl9uKTetsV7IjPsJzP_BX4eVYNBgIcFlWeiWEc6lORiHrDc70xZGh-eb79LJP4sRPGHbIAXasWsZvCgP2MeP4SSZ7Qg4Wf3RI~&sessionId=,2,软件开发工程师,200-400元/天,"欢迎优秀实习生加入！Web全栈开发工程师岗位职位描述：1、负责Web前端和后端产品开发工作以及相关文档的编写；2、参与产品/项目的需求设计，协同团队高质量交付产品；3、开发以及日常的测试用例的编写。岗位任职要求：1、本科或以上学历，计算机相关专业，两年以上Web前后端的产品开发经验；2、熟练掌握Java/Python等语言，MVC模式及技术框架（Spring、SpringMVC、SpringBoot、Mybatis等），熟悉MySQL数据库的使用，能熟练编写SQL等；3、熟练掌握Javascript等，HTML、CSS等Web技术，熟悉jQuery、Bootstrap或者Vue,React等其它前端框架；4、有手机APP和微信小程序开发经验优先录取；5、热爱编程，主动学习能力、分析能力、解决问题的能力强，有良好团队协作能力，工作积极主动有责任心，抗压能力强。","['C#', 'Java', 'PHP', 'Python', 'MySQL', '网络协议', 'Socket技术', '.NET']",4天/周 3个月,上海松江区兄妹猫园区211-212,"121.315669,31.096461",5.0,37971.0,7.0,6572.0,200,400,300,4,3,0,1
0,https://www.zhipin.com/job_detail/4add653b6687cac61nN_3NS-FVFZ.html?lid=6HEiY9fwdJQ.search.4&securityId=xLIxZCTQyjBxb-81TfnT1EKorRmUrlFHBjxsuRp9AIHcm-ztnXPajm8ypS-3kkfHfrhriT_2CZRoEx_8mO_zco7jefsYyzIlueUQuWgoCYnPiJLTy6V5SUCsaoXOHNpUvKIoOsTjUBPa&sessionId=,3,RPA开发工程师,150-200元/天,精通Java或python等主流语言，22年毕业的优秀实习生岗位。,"['Python', 'SQL', 'SpringMVC', 'SQL Server', '后端开发', '全栈开发', '游戏开发', '软件工程师']",5天/周 10个月,上海黄浦区数字力量进贤路218,"121.458001,31.221316",5.0,11105.0,4.0,3989.0,150,200,175,5,10,0,1
0,https://www.zhipin.com/job_detail/dffff90d8bd385da03R-39u8EVpW.html?lid=6HEiY9fwdJQ.search.5&securityId=nhHwX1WVUrpur-A112ybP_0rIrLY1PzYGITNKAJ2qk8Lz6u-d7mRhbbtubuQakL_MTyXhY5KysAtEmOn2qM0q5ndN-4q_bXuFq9kRk3R3MDWF1-umR47SyO9yfp7pUMkm4838rYkdZk~&sessionId=,4,java开发实习生（2025届、通过考核留任）,200-300元/天,食亨总部位于上海，于苏州、南京、杭州、武汉、深圳、厦门、北京、天津、成都、广州等城市都有分公司设立【为什么选择我们？】食亨科技：全国连锁餐饮数智化，品牌效应好！发展空间大！公司工作气氛好，工作环境优，人性化管理，在司可以结交各专业人才，对以后发展可以铺垫人脉资源！------【我们可以给你什么？】1、快速的成长路径，优秀的你在这里绝不会被埋没。2、公司汇聚业内优秀人才，人脉及经验帮助你更好的腾飞。3、五险一金+加班补助+多种奖金+班车接送+团建+专业培训+带薪年假4.毕业留任岗位职责：1. 构建足够抽象的行业数据模型2. 构建健壮的数据处理流程3. 和产品一起构建高效的行业数据产品4. 开发和维护行业数据获取及分析系统【岗位要求】：1. 985、211高校背景优先，能力优秀者可放宽条件2. 对AI有浓厚的兴趣3.有高效的人际交往和沟通能力4.具备创业者激情，优秀的思维逻辑能力，敏锐的洞察力5. 享受问题分析与解决的过程6. 对餐饮连锁以及互联网有热情7.有过实际的创业或经历优先,"['Java', 'Nginx', '不接受居家办公', '接受实习/在校生投递', 'Redis', 'Spring', 'ERP开发经验']",5天/周 3个月,上海虹口区新业坊5G创新产业园1号楼6楼,"121.46597,31.293598",5.0,5031.0,2.0,2992.0,200,300,250,5,3,0,1
0,https://www.zhipin.com/job_detail/c9b9648eac5ea49a1H183ty5E1ZX.html?lid=6HEiY9fwdJQ.search.6&securityId=OMsYmiY4UPfTD-W1aVowKO7xIKSyB7gg1fr76is_1XxiSWz79KlYHkBB8yaO4nEzc1ChSu9g4z_Y8gsW_sUAHi1CpNLtQYKwto0jbnwbhBBhbjaTIQI-HERwBKu5bfXankRpf7unIoDcvVY~&sessionId=,5,软件开发实习生,300-600元/天,岗位职责：1.参与软件开发项目，协助完成模块设计与编码2.与团队合作，确保代码质量，参与代码审查3.根据项目需求，进行软件测试和问题排查任职要求：1.具备良好的编程基础和学习能力2.能够有效沟通，积极配合团队工作3.对软件开发有浓厚兴趣，有责任心,"['C#', 'Java', '物联网经验', '不接受居家办公', 'C++', '团队管理经验', 'C', 'MySQL', '云计算经验', '架构设计经验', 'Spring', 'Python']",5天/周 6个月,上海青浦区LM虹桥世界中心L3—A幢805室,"121.304576,31.184073",5.0,29464.0,6.0,6074.0,300,600,450,5,6,0,1
0,https://www.zhipin.com/job_detail/6fd26a5989cd030e0XJ43N6_EFo~.html?lid=6HEiY9fwdJQ.search.7&securityId=Ca5ZohGAWLKre-y1j5AeOjHuxAw9h6m_L3m5b1XgOvjhJ1hVVQShNUynOAMP7QekzucfBLTOZ2cTYHu8WtoIQ0gK5AgXc2qmpIS2OPsxa1UG6z-CHWWzIGi-sUg5UqSeRvw8fMsb-do~&sessionId=,6,后端开发工程师（实习生）,100-150元/天,团队简介:创业团队，其中产品和技术团队骨干均拥有10年以上行业经验。运用互联网技术助力金融、医疗、汽车行业的升级改造。岗位职责1. 参与代码开发；2. 与产品和其他同事讨论需求，使其明晰，单独或与同事作出设计，然后编码实现；3. 负责自己代码的单元测试，参与集成等其它测试；4. 必要时协助同事解决疑难杂症。5. 愿意进行VR软件开发相关学习。要求1. 有Java服务器端工作经验；2. 基础扎实，严谨好学，涉猎甚广;3. 熟练使用Java，Spring；4. 熟练使用SQL，熟悉mysql，数据建模，有一定的性能优化能力；5. 熟悉web服务器端编程；6. 熟悉服务器端各种框架，能根据自己的需要选择合适的组合；,"['服务器配置', 'MySQL', 'java', 'c#']",3天/周 4个月,上海静安区上海亚马逊AWS联合创新中心静安区万荣路1268号云立方A栋4楼,"121.439724,31.2946",5.0,7587.0,3.0,3929.0,100,150,125,3,4,0,1
0,https://www.zhipin.com/job_detail/f22602ea141ccfb61Hx82tm-FFdR.html?lid=6HEiY9fwdJQ.search.8&securityId=DMiOBKqS7YTLF-l164CZLMGUbAsyyk37GfsP1RPQOBldEiXO7JRWdRbk2jcrR6B5NTSksgzwwYKYSZ7WjqLKqMdtcD6pTFF7UGybhxCql6aSKiQF1tSi9Npco7cyvMYYyegJoBmy0EVdzyU~&sessionId=,7,计算机实习生,180-300元/天,工作内容1、参与系统模块的开发，确保代码质量。2、进行模块测试，与测试团队合作确保功能准确性。3、理解业务需求，参与功能和数据库设计。任职要求1、具备Java编程能力，熟悉Spring框架。2、熟悉常用数据库，精通SQL。3、具备良好的逻辑思维能力和团队协作精神。同步招聘其他技术研发，设计等岗位，能力强者可接受远程工作。985优先,"['Golang', '物联网经验', 'Java', '接受实习/在校生投递', '团队管理经验', 'MySQL', '接受居家办公', 'Spring']",4天/周 3个月,上海松江区嘉南红塔大厦222,"121.256388,31.117267",5.0,41231.0,6.0,8661.0,180,300,240,4,3,0,1
0,https://www.zhipin.com/job_detail/f9f853d7c2a0c14503R42dW4EFFY.html?lid=6HEiY9fwdJQ.search.9&securityId=2bURf6dzBQ0vr-y1B7bgCeyKeogQRlxEofMWN0zqFBhsaRT2HkNORnjg5FVNAIN5K8yGgy5fDcrE2c2tXSBmh5-6hOAdB6SBCw55Yy2cxSsleK4qL_OyT105aF2YhC7TaqTmKJuQtlimQg~~&sessionId=,8,java开发实习生,200-250元/天,职位描述：1、负责公司内外部的项目的研发;2、参与公司人工智能相关产品和项目的关联支撑系统开发；3、维护和升级现有软件产品和系统，快速定位并修复现有软件缺陷任职要求：g)大学本科以上学历、计算机相关专业优先。h)具有java语言基础，能基于java语言完成项目编码。i)熟悉Linux相关系统的使用，能独立完成数据库环境安装和系统部署者优先j)熟悉springboot、springCloud相关框架的使用。k)熟悉HTML、JS、VUE等前端技术l)有阅读过开源社区源代码者，或对开源项目做出贡献者优先考虑m）接受大三大四实习生，毕业后可转正,"['Java', '不接受居家办公', '接受实习/在校生投递', 'MySQL', 'MyBatis', 'Redis', 'Spring']",5天/周 12个月,上海浦东新区金领国际金领,"121.679216,31.253842",5.0,19180.0,6.0,6594.0,200,250,225,5,12,0,1
0,https://www.zhipin.com/job_detail/92a618dfaee8142003R92tm-F1RW.html?lid=6HEiY9fwdJQ.search.10&securityId=f20vWyzC7pG67-C1EDxzk7bEymAjznQeWN9MLVVKwmY1QvJAQ-7yo-gksL4Fa5XDK994EMer5stC1fesHWhYQw9eEf3PY36YiZxff2Tsv8LyWAbsqKygKFJrqHPWQYQTUfQigdjUKqs~&sessionId=,9,软件工程实习生（前端/后端方向）,300-310元/天,我们正在寻找具有软件工程背景的实习生，加入我们的技术团队。作为实习生，你将根据个人专长选择参与前端（React/Angular）或后端（Java）项目开发，探索和实施创新的技术解决方案。主要职责:参与软件工程的调研工作，包括需求分析、系统设计和性能优化。协助开发团队在项目中实现新技术和工具。跟踪技术趋势，评估其在项目中的潜在价值和应用。与团队合作，解决技术难题，推动项目进展。任职要求:计算机科学、软件工程或相关领域的在读学生，每周到岗5天，连续6个月。前端方向：熟悉React或Angular框架，了解现代前端工程化工具。后端方向：熟悉Java编程，了解Spring框架。对数据库、算法和网络有扎实的知识基础。有快速学习和适应新技术的能力。对AI技术有基本的了解，有兴趣探索AI在软件工程中的应用者优先。良好的团队合作精神和沟通能力。加分项:有在复杂项目中工作的经验。前端方向：熟悉TypeScript、扎实的JavaScript和浏览器基础知识。后端方向：了解微服务架构，有分布式系统开发经验。对新技术有强烈的好奇心和探索欲。对软件工程的最佳实践有深刻理解。我们提供:与资深工程师一对一的指导。参与实际项目的机会，提升实战经验。舒适的工作环境和友好的团队氛围。,"['Java', '分布式经验', 'MySQL', 'Redis', 'Spring']",5天/周 6个月,上海浦东新区SAP Labs China,"121.601215,31.201634",5.0,17601.0,4.0,4735.0,300,310,305,5,6,0,1
