subdir,dirno,subdir_link
Java,1,/c101020100-p100101/
C/C++,1,/c101020100-p100102/
PHP,1,/c101020100-p100103/
Python,1,/c101020100-p100109/
C#,1,/c101020100-p100106/
.NET,1,/c101020100-p100107/
Golang,1,/c101020100-p100116/
Node.js,1,/c101020100-p100114/
语音/视频/图形开发,1,/c101020100-p100121/
GIS工程师,1,/c101020100-p100124/
区块链工程师,1,/c101020100-p100125/
全栈工程师,1,/c101020100-p100123/
其他后端开发,1,/c101020100-p100199/
前端开发工程师,2,/c101020100-p100901/
Android,2,/c101020100-p100202/
iOS,2,/c101020100-p100203/
U3D,2,/c101020100-p100209/
UE4,2,/c101020100-p100211/
Cocos,2,/c101020100-p100210/
技术美术,2,/c101020100-p100212/
JavaScript,2,/c101020100-p100208/
鸿蒙开发工程师,2,/c101020100-p100213/
测试工程师,3,/c101020100-p100301/
软件测试,3,/c101020100-p100309/
自动化测试,3,/c101020100-p100302/
功能测试,3,/c101020100-p100303/
测试开发,3,/c101020100-p100305/
硬件测试,3,/c101020100-p100308/
游戏测试,3,/c101020100-p100307/
性能测试,3,/c101020100-p100304/
渗透测试,3,/c101020100-p100310/
测试经理,3,/c101020100-p100703/
运维工程师,4,/c101020100-p100401/
IT技术支持,4,/c101020100-p100405/
网络工程师,4,/c101020100-p100403/
网络安全,4,/c101020100-p100407/
系统工程师,4,/c101020100-p100404/
运维开发工程师,4,/c101020100-p100402/
系统管理员,4,/c101020100-p100406/
DBA,4,/c101020100-p100409/
电脑/打印机维修,4,/c101020100-p290166/
系统安全,4,/c101020100-p100408/
技术文档工程师,4,/c101020100-p100410/
图像算法,5,/c101020100-p101306/
自然语言处理算法,5,/c101020100-p100117/
大模型算法,5,/c101020100-p101310/
数据挖掘,7,/c101020100-p100104/
规控算法,5,/c101020100-p101311/
SLAM算法,5,/c101020100-p101312/
推荐算法,5,/c101020100-p100118/
搜索算法,5,/c101020100-p100115/
语音算法,5,/c101020100-p101305/
风控算法,5,/c101020100-p101309/
算法研究员,5,/c101020100-p101307/
算法工程师,5,/c101020100-p100120/
机器学习,5,/c101020100-p101301/
深度学习,5,/c101020100-p101302/
自动驾驶系统工程师,5,/c101020100-p101308/
数据标注/AI训练师,5,/c101020100-p130121/
售前技术支持,6,/c101020100-p101201/
售后技术支持,6,/c101020100-p101202/
销售技术支持,6,/c101020100-p101299/
客户成功,6,/c101020100-p160303/
数据分析师,7,/c101020100-p100511/
数据开发,7,/c101020100-p100508/
数据仓库,7,/c101020100-p100507/
ETL工程师,7,/c101020100-p100506/
数据架构师,7,/c101020100-p100512/
爬虫工程师,7,/c101020100-p100514/
数据采集,7,/c101020100-p100122/
数据治理,7,/c101020100-p100515/
项目经理/主管,8,/c101020100-p100601/
项目助理,8,/c101020100-p100603/
项目专员,8,/c101020100-p100604/
实施工程师,8,/c101020100-p100606/
实施顾问,8,/c101020100-p100605/
需求分析工程师,8,/c101020100-p100607/
硬件项目经理,8,/c101020100-p100817/
技术经理,9,/c101020100-p100701/
架构师,9,/c101020100-p100704/
技术总监,9,/c101020100-p100702/
CTO/CIO,9,/c101020100-p100705/
技术合伙人,9,/c101020100-p100707/
运维总监,9,/c101020100-p100706/
其他技术职位,10,/c101020100-p101101/
